[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b0067': 0, 'b2280': 0, 'b2797': 0, 'b3735': 0, 'b3733': 0, 'b0655': 0, 'b3616': 0}
[4.8908508245792985, 27.11274387615381];{'b3008': 0, 'b0116': 0, 'b3656': 0, 'b2280': 0, 'b4383': 0, 'b1686': 0, 'b3733': 0, 'b3735': 0}
[4.8908508245792985, 27.11274387615381];{'b0125': 0, 'b0116': 0, 'b3656': 0, 'b2280': 0, 'b4383': 0, 'b1686': 0, 'b3733': 0, 'b3735': 0}
[4.8908508245792985, 27.11274387615381];{'b0125': 0, 'b3008': 0, 'b0116': 0, 'b2280': 0, 'b4383': 0, 'b1686': 0, 'b3733': 0, 'b3735': 0}
[4.8908508245792985, 27.11274387615381];{'b0125': 0, 'b3008': 0, 'b0116': 0, 'b3656': 0, 'b2280': 0, 'b4383': 0, 'b3733': 0, 'b3735': 0}
[4.8908508245792985, 27.11274387615381];{'b0125': 0, 'b3008': 0, 'b0116': 0, 'b3656': 0, 'b2280': 0, 'b4383': 0, 'b1686': 0, 'b3735': 0}
[4.8908508245792985, 27.11274387615381];{'b0125': 0, 'b3008': 0, 'b0116': 0, 'b3656': 0, 'b2280': 0, 'b4383': 0, 'b1686': 0, 'b3733': 0}
[4.890850824579349, 27.112743876153775];{'b3736': 0, 'b0116': 0, 'b2280': 0, 'b4383': 0}
[4.936966966131414, 8.199602440340415];{'b2721': 0, 'b2280': 0, 'b3733': 0, 'b3735': 0, 'b1680': 0, 'b1341': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2280': 0, 'b3733': 0, 'b3735': 0, 'b1680': 0, 'b1341': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b1341': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b1341': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b3735': 0, 'b1341': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b3735': 0, 'b1680': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b3735': 0, 'b1680': 0, 'b1341': 0, 'b3616': 0}
[4.936966966131414, 8.199602440340415];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b3735': 0, 'b1680': 0, 'b1341': 0, 'b3962': 0}
[4.936966966131211, 8.199602440340424];{'b3732': 0, 'b3616': 0, 'b2280': 0, 'b3735': 0, 'b0805': 0, 'b1849': 0}
[4.936966966131211, 8.199602440340424];{'b0125': 0, 'b3616': 0, 'b2280': 0, 'b3735': 0, 'b0805': 0, 'b1849': 0}
[4.936966966131211, 8.199602440340424];{'b0125': 0, 'b3732': 0, 'b3616': 0, 'b2280': 0, 'b3735': 0, 'b0805': 0}
[4.936966966131211, 8.199602440340424];{'b0125': 0, 'b3732': 0, 'b3616': 0, 'b2280': 0, 'b0805': 0, 'b1849': 0}
[4.936966966131211, 8.199602440340424];{'b0125': 0, 'b3732': 0, 'b2280': 0, 'b3735': 0, 'b0805': 0, 'b1849': 0}
[4.936966966131211, 8.199602440340424];{'b0125': 0, 'b3732': 0, 'b3616': 0, 'b2280': 0, 'b3735': 0, 'b1849': 0}
[4.936966966131242, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b0844': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b1686': 0, 'b3456': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0844': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b1686': 0, 'b3456': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b1686': 0, 'b3456': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b0844': 0, 'b2280': 0, 'b1680': 0, 'b1686': 0, 'b3456': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b0844': 0, 'b2280': 0, 'b3731': 0, 'b1686': 0, 'b3456': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b0844': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b3456': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b0844': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b1686': 0, 'b3733': 0}
[4.936966966131242, 25.81440289948791];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b0844': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b1686': 0, 'b3456': 0}
[4.936966966131305, 25.814402899488556];{'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3616': 0}
[4.936966966131305, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3616': 0}
[4.936966966131305, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3616': 0}
[4.936966966131305, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0, 'b3735': 0, 'b3616': 0}
[4.936966966131305, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3735': 0, 'b3616': 0}
[4.936966966131305, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3616': 0}
[4.936966966131305, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b2328': 0, 'b3731': 0, 'b1680': 0, 'b0675': 0, 'b3733': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b2280': 0, 'b2328': 0, 'b3731': 0, 'b1680': 0, 'b0675': 0, 'b3733': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b0675': 0, 'b3733': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b0067': 0, 'b2280': 0, 'b2328': 0, 'b1680': 0, 'b0675': 0, 'b3733': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b0067': 0, 'b2280': 0, 'b2328': 0, 'b3731': 0, 'b0675': 0, 'b3733': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b0067': 0, 'b2280': 0, 'b2328': 0, 'b3731': 0, 'b1680': 0, 'b3733': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b0067': 0, 'b2280': 0, 'b2328': 0, 'b3731': 0, 'b1680': 0, 'b0675': 0, 'b3616': 0}
[4.936966966131337, 25.814402899488343];{'b0116': 0, 'b0861': 0, 'b0067': 0, 'b2280': 0, 'b2328': 0, 'b3731': 0, 'b1680': 0, 'b0675': 0, 'b3733': 0}
[4.936966966131351, 25.8144028994883];{'b0116': 0, 'b0861': 0, 'b2280': 0, 'b3733': 0, 'b0655': 0, 'b3962': 0, 'b2328': 0, 'b0805': 0}
[4.936966966131351, 25.8144028994883];{'b3732': 0, 'b0116': 0, 'b2280': 0, 'b3733': 0, 'b0655': 0, 'b3962': 0, 'b2328': 0, 'b0805': 0}
[4.936966966131351, 25.8144028994883];{'b3732': 0, 'b0116': 0, 'b0861': 0, 'b2280': 0, 'b0655': 0, 'b3962': 0, 'b2328': 0, 'b0805': 0}
[4.936966966131351, 25.8144028994883];{'b3732': 0, 'b0116': 0, 'b0861': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b2328': 0, 'b0805': 0}
[4.936966966131351, 25.8144028994883];{'b3732': 0, 'b0116': 0, 'b0861': 0, 'b2280': 0, 'b3733': 0, 'b0655': 0, 'b2328': 0, 'b0805': 0}
[4.936966966131351, 25.8144028994883];{'b3732': 0, 'b0116': 0, 'b0861': 0, 'b2280': 0, 'b3733': 0, 'b0655': 0, 'b3962': 0, 'b0805': 0}
[4.936966966131351, 25.8144028994883];{'b3732': 0, 'b0116': 0, 'b0861': 0, 'b2280': 0, 'b3733': 0, 'b0655': 0, 'b3962': 0, 'b2328': 0}
